content,month_str,value
Rounds: convertible_note,2012-10,2
Rounds: convertible_note,2012-11,1
Rounds: convertible_note,2012-12,1
Rounds: convertible_note,2013-01,2
Rounds: convertible_note,2013-03,5
Rounds: convertible_note,2013-05,5
Rounds: convertible_note,2013-06,7
Rounds: convertible_note,2013-07,25
Rounds: convertible_note,2013-08,37
Rounds: convertible_note,2013-09,29
Rounds: convertible_note,2013-10,18
Rounds: convertible_note,2013-11,45
Rounds: convertible_note,2013-12,26
Rounds: convertible_note,2014-01,41
Rounds: convertible_note,2014-02,52
Rounds: convertible_note,2014-03,41
Rounds: convertible_note,2014-04,19
Rounds: convertible_note,2014-05,32
Rounds: convertible_note,2014-06,33
Rounds: convertible_note,2014-07,120
Rounds: convertible_note,2014-08,32
Rounds: convertible_note,2014-09,70
Rounds: convertible_note,2014-10,27
Rounds: convertible_note,2014-11,4
Rounds: debt_financing,2007-07,1
Rounds: debt_financing,2007-08,2
Rounds: debt_financing,2007-10,3
Rounds: debt_financing,2007-11,2
Rounds: debt_financing,2007-12,2
Rounds: debt_financing,2008-01,3
Rounds: debt_financing,2008-02,3
Rounds: debt_financing,2008-04,1
Rounds: debt_financing,2008-05,8
Rounds: debt_financing,2008-06,3
Rounds: debt_financing,2008-07,7
Rounds: debt_financing,2008-08,7
Rounds: debt_financing,2008-09,1
Rounds: debt_financing,2008-10,2
Rounds: debt_financing,2008-11,6
Rounds: debt_financing,2008-12,5
Rounds: debt_financing,2009-01,10
Rounds: debt_financing,2009-02,3
Rounds: debt_financing,2009-03,4
Rounds: debt_financing,2009-04,8
Rounds: debt_financing,2009-05,6
Rounds: debt_financing,2009-06,11
Rounds: debt_financing,2009-07,10
Rounds: debt_financing,2009-08,7
Rounds: debt_financing,2009-09,15
Rounds: debt_financing,2009-10,6
Rounds: debt_financing,2009-11,24
Rounds: debt_financing,2009-12,66
Rounds: debt_financing,2010-01,58
Rounds: debt_financing,2010-02,31
Rounds: debt_financing,2010-03,48
Rounds: debt_financing,2010-04,39
Rounds: debt_financing,2010-05,17
Rounds: debt_financing,2010-06,14
Rounds: debt_financing,2010-07,10
Rounds: debt_financing,2010-08,9
Rounds: debt_financing,2010-09,13
Rounds: debt_financing,2010-10,10
Rounds: debt_financing,2010-11,17
Rounds: debt_financing,2010-12,10
Rounds: debt_financing,2011-01,13
Rounds: debt_financing,2011-02,13
Rounds: debt_financing,2011-03,9
Rounds: debt_financing,2011-04,8
Rounds: debt_financing,2011-05,12
Rounds: debt_financing,2011-06,12
Rounds: debt_financing,2011-07,10
Rounds: debt_financing,2011-08,14
Rounds: debt_financing,2011-09,16
Rounds: debt_financing,2011-10,21
Rounds: debt_financing,2011-11,10
Rounds: debt_financing,2011-12,19
Rounds: debt_financing,2012-01,17
Rounds: debt_financing,2012-02,12
Rounds: debt_financing,2012-03,21
Rounds: debt_financing,2012-04,20
Rounds: debt_financing,2012-05,13
Rounds: debt_financing,2012-06,18
Rounds: debt_financing,2012-07,20
Rounds: debt_financing,2012-08,18
Rounds: debt_financing,2012-09,9
Rounds: debt_financing,2012-10,13
Rounds: debt_financing,2012-11,9
Rounds: debt_financing,2012-12,7
Rounds: debt_financing,2013-01,17
Rounds: debt_financing,2013-02,16
Rounds: debt_financing,2013-03,20
Rounds: debt_financing,2013-04,15
Rounds: debt_financing,2013-05,135
Rounds: debt_financing,2013-06,286
Rounds: debt_financing,2013-07,410
Rounds: debt_financing,2013-08,342
Rounds: debt_financing,2013-09,423
Rounds: debt_financing,2013-10,268
Rounds: debt_financing,2013-11,362
Rounds: debt_financing,2013-12,411
Rounds: debt_financing,2014-01,360
Rounds: debt_financing,2014-02,458
Rounds: debt_financing,2014-03,292
Rounds: debt_financing,2014-04,141
Rounds: debt_financing,2014-05,126
Rounds: debt_financing,2014-06,112
Rounds: debt_financing,2014-07,206
Rounds: debt_financing,2014-08,133
Rounds: debt_financing,2014-09,107
Rounds: debt_financing,2014-10,87
Rounds: debt_financing,2014-11,34
Rounds: equity_crowdfunding,2012-09,2
Rounds: equity_crowdfunding,2013-03,1
Rounds: equity_crowdfunding,2013-04,1
Rounds: equity_crowdfunding,2013-06,1
Rounds: equity_crowdfunding,2013-07,2
Rounds: equity_crowdfunding,2013-08,2
Rounds: equity_crowdfunding,2013-09,1
Rounds: equity_crowdfunding,2013-10,1
Rounds: equity_crowdfunding,2013-12,6
Rounds: equity_crowdfunding,2014-01,5
Rounds: equity_crowdfunding,2014-02,8
Rounds: equity_crowdfunding,2014-03,7
Rounds: equity_crowdfunding,2014-04,7
Rounds: equity_crowdfunding,2014-05,33
Rounds: equity_crowdfunding,2014-06,56
Rounds: equity_crowdfunding,2014-07,1672
Rounds: equity_crowdfunding,2014-08,17
Rounds: equity_crowdfunding,2014-09,294
Rounds: equity_crowdfunding,2014-10,5
Rounds: equity_crowdfunding,2014-11,1
Rounds: grant,2008-01,1
Rounds: grant,2008-06,1
Rounds: grant,2008-07,1
Rounds: grant,2008-10,1
Rounds: grant,2008-11,1
Rounds: grant,2009-04,1
Rounds: grant,2009-06,1
Rounds: grant,2009-07,2
Rounds: grant,2009-08,7
Rounds: grant,2009-09,12
Rounds: grant,2009-10,6
Rounds: grant,2009-11,17
Rounds: grant,2009-12,23
Rounds: grant,2010-01,22
Rounds: grant,2010-02,4
Rounds: grant,2010-03,11
Rounds: grant,2010-04,5
Rounds: grant,2010-05,4
Rounds: grant,2010-06,6
Rounds: grant,2010-07,10
Rounds: grant,2010-08,11
Rounds: grant,2010-09,13
Rounds: grant,2010-10,18
Rounds: grant,2010-11,13
Rounds: grant,2010-12,4
Rounds: grant,2011-01,10
Rounds: grant,2011-02,11
Rounds: grant,2011-03,4
Rounds: grant,2011-04,5
Rounds: grant,2011-05,11
Rounds: grant,2011-06,9
Rounds: grant,2011-07,5
Rounds: grant,2011-08,19
Rounds: grant,2011-09,11
Rounds: grant,2011-10,9
Rounds: grant,2011-11,9
Rounds: grant,2011-12,14
Rounds: grant,2012-01,6
Rounds: grant,2012-02,7
Rounds: grant,2012-03,6
Rounds: grant,2012-04,16
Rounds: grant,2012-05,14
Rounds: grant,2012-06,14
Rounds: grant,2012-07,12
Rounds: grant,2012-08,14
Rounds: grant,2012-09,10
Rounds: grant,2012-10,9
Rounds: grant,2012-11,3
Rounds: grant,2012-12,3
Rounds: grant,2013-01,15
Rounds: grant,2013-02,10
Rounds: grant,2013-03,15
Rounds: grant,2013-04,9
Rounds: grant,2013-05,8
Rounds: grant,2013-06,33
Rounds: grant,2013-07,36
Rounds: grant,2013-08,40
Rounds: grant,2013-09,62
Rounds: grant,2013-10,36
Rounds: grant,2013-11,57
Rounds: grant,2013-12,52
Rounds: grant,2014-01,49
Rounds: grant,2014-02,57
Rounds: grant,2014-03,39
Rounds: grant,2014-04,36
Rounds: grant,2014-05,131
Rounds: grant,2014-06,44
Rounds: grant,2014-07,109
Rounds: grant,2014-08,61
Rounds: grant,2014-09,81
Rounds: grant,2014-10,49
Rounds: grant,2014-11,6
Rounds: post_ipo_debt,2009-06,1
Rounds: post_ipo_debt,2009-07,1
Rounds: post_ipo_debt,2009-11,1
Rounds: post_ipo_debt,2010-01,1
Rounds: post_ipo_debt,2010-08,1
Rounds: post_ipo_debt,2013-04,1
Rounds: post_ipo_debt,2013-07,1
Rounds: post_ipo_debt,2013-12,2
Rounds: post_ipo_debt,2014-02,5
Rounds: post_ipo_debt,2014-03,15
Rounds: post_ipo_debt,2014-04,7
Rounds: post_ipo_debt,2014-05,3
Rounds: post_ipo_debt,2014-06,6
Rounds: post_ipo_debt,2014-07,8
Rounds: post_ipo_debt,2014-08,6
Rounds: post_ipo_debt,2014-09,8
Rounds: post_ipo_debt,2014-10,9
Rounds: post_ipo_debt,2014-11,3
Rounds: post_ipo_equity,2007-10,1
Rounds: post_ipo_equity,2008-08,3
Rounds: post_ipo_equity,2008-09,1
Rounds: post_ipo_equity,2009-06,2
Rounds: post_ipo_equity,2009-10,1
Rounds: post_ipo_equity,2009-11,1
Rounds: post_ipo_equity,2009-12,3
Rounds: post_ipo_equity,2010-01,1
Rounds: post_ipo_equity,2010-02,2
Rounds: post_ipo_equity,2010-10,1
Rounds: post_ipo_equity,2010-11,1
Rounds: post_ipo_equity,2011-02,1
Rounds: post_ipo_equity,2012-02,3
Rounds: post_ipo_equity,2012-03,1
Rounds: post_ipo_equity,2012-04,3
Rounds: post_ipo_equity,2012-05,1
Rounds: post_ipo_equity,2012-07,1
Rounds: post_ipo_equity,2012-09,1
Rounds: post_ipo_equity,2012-10,2
Rounds: post_ipo_equity,2012-11,1
Rounds: post_ipo_equity,2012-12,1
Rounds: post_ipo_equity,2013-01,1
Rounds: post_ipo_equity,2013-02,1
Rounds: post_ipo_equity,2013-03,2
Rounds: post_ipo_equity,2013-04,1
Rounds: post_ipo_equity,2013-05,3
Rounds: post_ipo_equity,2013-06,7
Rounds: post_ipo_equity,2013-07,6
Rounds: post_ipo_equity,2013-08,14
Rounds: post_ipo_equity,2013-09,9
Rounds: post_ipo_equity,2013-10,10
Rounds: post_ipo_equity,2013-11,15
Rounds: post_ipo_equity,2013-12,10
Rounds: post_ipo_equity,2014-01,15
Rounds: post_ipo_equity,2014-02,35
Rounds: post_ipo_equity,2014-03,51
Rounds: post_ipo_equity,2014-04,19
Rounds: post_ipo_equity,2014-05,31
Rounds: post_ipo_equity,2014-06,31
Rounds: post_ipo_equity,2014-07,17
Rounds: post_ipo_equity,2014-08,31
Rounds: post_ipo_equity,2014-09,26
Rounds: post_ipo_equity,2014-10,19
Rounds: post_ipo_equity,2014-11,1
Rounds: private_equity,2007-11,1
Rounds: private_equity,2007-12,1
Rounds: private_equity,2008-01,1
Rounds: private_equity,2008-05,2
Rounds: private_equity,2008-06,1
Rounds: private_equity,2008-07,3
Rounds: private_equity,2008-08,1
Rounds: private_equity,2008-09,4
Rounds: private_equity,2008-12,5
Rounds: private_equity,2009-01,4
Rounds: private_equity,2009-02,2
Rounds: private_equity,2009-03,1
Rounds: private_equity,2009-04,2
Rounds: private_equity,2009-05,4
Rounds: private_equity,2009-06,18
Rounds: private_equity,2009-07,1
Rounds: private_equity,2009-09,5
Rounds: private_equity,2009-10,2
Rounds: private_equity,2009-11,6
Rounds: private_equity,2009-12,13
Rounds: private_equity,2010-01,14
Rounds: private_equity,2010-02,11
Rounds: private_equity,2010-03,13
Rounds: private_equity,2010-04,8
Rounds: private_equity,2010-05,7
Rounds: private_equity,2010-06,6
Rounds: private_equity,2010-07,15
Rounds: private_equity,2010-08,3
Rounds: private_equity,2010-09,3
Rounds: private_equity,2010-10,8
Rounds: private_equity,2010-11,6
Rounds: private_equity,2010-12,3
Rounds: private_equity,2011-01,10
Rounds: private_equity,2011-02,3
Rounds: private_equity,2011-03,7
Rounds: private_equity,2011-04,8
Rounds: private_equity,2011-05,2
Rounds: private_equity,2011-06,9
Rounds: private_equity,2011-07,13
Rounds: private_equity,2011-08,6
Rounds: private_equity,2011-09,9
Rounds: private_equity,2011-10,4
Rounds: private_equity,2011-11,6
Rounds: private_equity,2011-12,6
Rounds: private_equity,2012-01,7
Rounds: private_equity,2012-02,10
Rounds: private_equity,2012-03,6
Rounds: private_equity,2012-04,8
Rounds: private_equity,2012-05,7
Rounds: private_equity,2012-06,12
Rounds: private_equity,2012-07,9
Rounds: private_equity,2012-08,2
Rounds: private_equity,2012-09,6
